Management Area,Year,Quarter,Total Visits,Full Day,Part Day,Exempt,Scenic Flights,Coral Viewing
Mackay/Capricorn Management Area,2024,Jan-Mar 2024,41708,19977,7942,12998,0,791
Townsville/Whitsunday Management Area,2024,Jan-Mar 2024,257511,186408,31912,19590,14317,5284
Cairns/Cooktown Management Area,2023,Oct-Dec 2023,229399,151768,16916,12449,8202,40064
Far Northern Management Area,2023,Oct-Dec 2023,2936,1315,169,1452,0,0
Mackay/Capricorn Management Area,2023,Oct-Dec 2023,50517,24162,9600,15952,0,803
Townsville/Whitsunday Management Area,2023,Oct-Dec 2023,275522,187903,39490,29875,13623,4631
Cairns/Cooktown Management Area,2023,Jul-Sep 2023,264287,170353,20754,12322,6947,53911
Far Northern Management Area,2023,Jul-Sep 2023,1511,1124,238,149,0,0
Mackay/Capricorn Management Area,2023,Jul-Sep 2023,50136,22612,8731,17419,0,1374
Townsville/Whitsunday Management Area,2023,Jul-Sep 2023,251699,166860,37095,35830,7874,4040
Cairns/Cooktown Management Area,2023,Apr-Jun 2023,219354,145141,15703,14812,5728,37970
Far Northern Management Area,2023,Apr-Jun 2023,1823,1421,134,268,0,0
Mackay/Capricorn Management Area,2023,Apr-Jun 2023,38038,23441,7662,5796,0,1139
Townsville/Whitsunday Management Area,2023,Apr-Jun 2023,251322,146136,56196,39496,5600,3894
Cairns/Cooktown Management Area,2023,Jan-Mar 2023,191035,135853,11635,13237,5800,24510
Far Northern Management Area,2023,Jan-Mar 2023,918,480,0,438,0,0
Mackay/Capricorn Management Area,2023,Jan-Mar 2023,38460,31092,3990,2792,0,586
Townsville/Whitsunday Management Area,2023,Jan-Mar 2023,218843,137393,57062,19253,4891,244
Cairns/Cooktown Management Area,2022,Oct-Dec 2022,247173,170682,20947,17220,5014,33310
Far Northern Management Area,2022,Oct-Dec 2022,3661,2359,49,1253,0,0
Mackay/Capricorn Management Area,2022,Oct-Dec 2022,39612,22604,3967,12276,0,765
Townsville/Whitsunday Management Area,2022,Oct-Dec 2022,347107,208141,94349,40001,4616,0
Cairns/Cooktown Management Area,2022,Jul-Sep 2022,268900,182174,23275,15428,6356,41667
Far Northern Management Area,2022,Jul-Sep 2022,1390,1216,19,155,0,0
Mackay/Capricorn Management Area,2022,Jul-Sep 2022,49334,26017,4698,16899,0,1720
Townsville/Whitsunday Management Area,2022,Jul-Sep 2022,268046,160744,65899,38688,2715,0
Cairns/Cooktown Management Area,2022,Apr-Jun 2022,201127,142141,19227,10087,4207,25465
Far Northern Management Area,2022,Apr-Jun 2022,1815,1415,146,254,0,0
Mackay/Capricorn Management Area,2022,Apr-Jun 2022,38652,18518,1566,15723,0,2845
Townsville/Whitsunday Management Area,2022,Apr-Jun 2022,226400,111792,76779,34397,3432,0
Cairns/Cooktown Management Area,2022,Jan-Mar 2022,116423,83815,12237,5516,2834,12021
Far Northern Management Area,2022,Jan-Mar 2022,858,425,0,433,0,0
Mackay/Capricorn Management Area,2022,Jan-Mar 2022,33073,19188,1053,12305,0,527
Townsville/Whitsunday Management Area,2022,Jan-Mar 2022,161397,98392,40239,19524,3242,0
Cairns/Cooktown Management Area,2021,Oct-Dec 2021,108091,75004,14423,5696,1665,11303
Far Northern Management Area,2021,Oct-Dec 2021,3021,1878,77,1066,0,0
Mackay/Capricorn Management Area,2021,Oct-Dec 2021,43801,22877,5597,14289,0,1038
Townsville/Whitsunday Management Area,2021,Oct-Dec 2021,146606,74351,48792,22301,1160,0
Cairns/Cooktown Management Area,2021,Jul-Sep 2021,94753,62882,12990,5093,1939,11849
Far Northern Management Area,2021,Jul-Sep 2021,1250,959,0,291,0,0
Mackay/Capricorn Management Area,2021,Jul-Sep 2021,42218,18434,5162,14245,0,4377
Townsville/Whitsunday Management Area,2021,Jul-Sep 2021,157541,89957,38339,27967,1278,0
Cairns/Cooktown Management Area,2021,Apr-Jun 2021,154843,107867,18838,5257,2173,20708
Far Northern Management Area,2021,Apr-Jun 2021,827,395,19,413,0,0
Mackay/Capricorn Management Area,2021,Apr-Jun 2021,39136,17752,4573,15852,0,959
Townsville/Whitsunday Management Area,2021,Apr-Jun 2021,200070,102184,60313,34543,2841,189
Cairns/Cooktown Management Area,2021,Jan-Mar 2021,75158,51820,9658,3347,2045,8288
Far Northern Management Area,2021,Jan-Mar 2021,762,513,39,210,0,0
Mackay/Capricorn Management Area,2021,Jan-Mar 2021,38238,17072,6861,13704,0,601
Townsville/Whitsunday Management Area,2021,Jan-Mar 2021,128706,72254,36093,18524,1835,0
Cairns/Cooktown Management Area,2020,Oct-Dec 2020,88238,59977,9268,4821,2725,11447
Far Northern Management Area,2020,Oct-Dec 2020,1004,659,69,276,0,0
Mackay/Capricorn Management Area,2020,Oct-Dec 2020,40217,21187,3672,14259,0,1099
Townsville/Whitsunday Management Area,2020,Oct-Dec 2020,144845,81785,38076,23282,1702,0
Cairns/Cooktown Management Area,2020,Jul-Sep 2020,70469,48998,7504,2296,2964,8707
Far Northern Management Area,2020,Jul-Sep 2020,175,117,17,41,0,0
Mackay/Capricorn Management Area,2020,Jul-Sep 2020,31596,14613,2277,13362,0,1344
Townsville/Whitsunday Management Area,2020,Jul-Sep 2020,102989,61755,21742,18562,930,0
Cairns/Cooktown Management Area,2020,Apr-Jun 2020,3884,2709,639,222,314,0
Far Northern Management Area,2020,Apr-Jun 2020,50,50,0,0,0,0
Mackay/Capricorn Management Area,2020,Apr-Jun 2020,4581,2503,211,1791,0,76
Townsville/Whitsunday Management Area,2020,Apr-Jun 2020,7597,5135,791,1620,51,0
Cairns/Cooktown Management Area,2020,Jan-Mar 2020,206894,144400,13918,13444,8146,26986
Far Northern Management Area,2020,Jan-Mar 2020,737,274,12,451,0,0
Mackay/Capricorn Management Area,2020,Jan-Mar 2020,39990,26087,2640,10878,0,383
Townsville/Whitsunday Management Area,2020,Jan-Mar 2020,185969,144271,22899,17262,1537,0
Cairns/Cooktown Management Area,2019,Oct-Dec 2019,330567,208272,22026,26981,17223,56065
Far Northern Management Area,2019,Oct-Dec 2019,3066,1750,61,1255,0,0
Mackay/Capricorn Management Area,2019,Oct-Dec 2019,56682,36092,3602,16468,0,520
Townsville/Whitsunday Management Area,2019,Oct-Dec 2019,278808,204896,39060,32702,2150,0
Cairns/Cooktown Management Area,2019,Jul-Sep 2019,334252,210253,26555,24306,16021,57117
Far Northern Management Area,2019,Jul-Sep 2019,1069,654,142,273,0,0
Mackay/Capricorn Management Area,2019,Jul-Sep 2019,54023,30662,4933,17370,0,1058
Townsville/Whitsunday Management Area,2019,Jul-Sep 2019,244756,171586,36831,33142,3197,0
Cairns/Cooktown Management Area,2019,Apr-Jun 2019,247540,155804,17279,18357,10889,45211
Far Northern Management Area,2019,Apr-Jun 2019,542,425,29,88,0,0
Mackay/Capricorn Management Area,2019,Apr-Jun 2019,40394,23681,2436,13741,0,536
Townsville/Whitsunday Management Area,2019,Apr-Jun 2019,185321,138000,24042,22043,1230,0
Cairns/Cooktown Management Area,2019,Jan-Mar 2019,307601,185720,18720,28806,19524,54831
Far Northern Management Area,2019,Jan-Mar 2019,359,214,0,145,0,0
Mackay/Capricorn Management Area,2019,Jan-Mar 2019,44706,29595,2317,12370,0,424
Townsville/Whitsunday Management Area,2019,Jan-Mar 2019,242276,184717,27984,23324,6251,0
Cairns/Cooktown Management Area,2018,Oct-Dec 2018,328747,203966,21039,32440,16274,55028
Far Northern Management Area,2018,Oct-Dec 2018,2928,1750,74,1102,0,0
Mackay/Capricorn Management Area,2018,Oct-Dec 2018,51887,31016,4314,16153,0,399
Townsville/Whitsunday Management Area,2018,Oct-Dec 2018,277379,195303,30329,43350,8388,0
Cairns/Cooktown Management Area,2018,Jul-Sep 2018,371977,225429,32154,35251,17462,61681
Far Northern Management Area,2018,Jul-Sep 2018,1352,880,109,363,0,0
Mackay/Capricorn Management Area,2018,Jul-Sep 2018,55847,30781,4816,18594,0,1656
Townsville/Whitsunday Management Area,2018,Jul-Sep 2018,285737,190745,33225,58534,3233,0
Cairns/Cooktown Management Area,2018,Apr-Jun 2018,275218,163937,19274,24899,13787,53321
Far Northern Management Area,2018,Apr-Jun 2018,1526,981,64,481,0,0
Mackay/Capricorn Management Area,2018,Apr-Jun 2018,39898,23629,1220,14460,0,589
Townsville/Whitsunday Management Area,2018,Apr-Jun 2018,208897,156756,23181,23819,5139,0
Cairns/Cooktown Management Area,2018,Jan-Mar 2018,352332,212948,20826,32911,22253,63394
Far Northern Management Area,2018,Jan-Mar 2018,367,260,18,89,0,0
Mackay/Capricorn Management Area,2018,Jan-Mar 2018,43972,29485,790,13258,0,439
Townsville/Whitsunday Management Area,2018,Jan-Mar 2018,262926,197111,31012,22706,12097,0
Cairns/Cooktown Management Area,2017,Oct-Dec 2017,382759,224687,24781,39419,21169,72703
Far Northern Management Area,2017,Oct-Dec 2017,3101,1526,49,1526,0,0
Mackay/Capricorn Management Area,2017,Oct-Dec 2017,53566,35509,1375,15991,0,691
Townsville/Whitsunday Management Area,2017,Oct-Dec 2017,291883,203331,37223,40315,11012,0
Cairns/Cooktown Management Area,2017,Jul-Sep 2017,378803,227656,30882,35792,16513,67960
Far Northern Management Area,2017,Jul-Sep 2017,1286,854,51,381,0,0
Mackay/Capricorn Management Area,2017,Jul-Sep 2017,52802,30877,2225,17922,0,1778
Townsville/Whitsunday Management Area,2017,Jul-Sep 2017,267447,189251,32535,38889,6772,0
Cairns/Cooktown Management Area,2017,Apr-Jun 2017,284685,174699,16622,27244,11400,54720
Far Northern Management Area,2017,Apr-Jun 2017,1095,706,54,335,0,0
Mackay/Capricorn Management Area,2017,Apr-Jun 2017,41050,22286,3282,14980,0,492
Townsville/Whitsunday Management Area,2017,Apr-Jun 2017,170126,122735,20506,18365,8516,0
Cairns/Cooktown Management Area,2017,Jan-Mar 2017,351318,204858,25109,35065,20057,66229
Far Northern Management Area,2017,Jan-Mar 2017,735,363,57,315,0,0
Mackay/Capricorn Management Area,2017,Jan-Mar 2017,44367,28280,2296,13486,19,286
Townsville/Whitsunday Management Area,2017,Jan-Mar 2017,271021,184653,36497,38765,10659,447
Cairns/Cooktown Management Area,2016,Oct-Dec 2016,376196,225857,24591,37471,17534,70743
Far Northern Management Area,2016,Oct-Dec 2016,1799,1069,89,635,0,0
Mackay/Capricorn Management Area,2016,Oct-Dec 2016,55354,33033,3807,17701,0,813
Townsville/Whitsunday Management Area,2016,Oct-Dec 2016,334926,218545,42277,60802,12480,822
Cairns/Cooktown Management Area,2016,Jul-Sep 2016,381613,229735,32198,38677,13810,67193
Far Northern Management Area,2016,Jul-Sep 2016,1091,730,127,234,0,0
Mackay/Capricorn Management Area,2016,Jul-Sep 2016,51057,27662,4311,17952,0,1132
Townsville/Whitsunday Management Area,2016,Jul-Sep 2016,288142,185675,36765,54489,10195,1018
Cairns/Cooktown Management Area,2016,Apr-Jun 2016,282085,161408,19767,29748,10429,60733
Far Northern Management Area,2016,Apr-Jun 2016,906,648,36,222,0,0
Mackay/Capricorn Management Area,2016,Apr-Jun 2016,41720,20818,3879,16290,107,626
Townsville/Whitsunday Management Area,2016,Apr-Jun 2016,220849,147347,32971,32616,7463,452
Cairns/Cooktown Management Area,2016,Jan-Mar 2016,379237,218471,30133,36532,22134,71967
Far Northern Management Area,2016,Jan-Mar 2016,822,628,0,190,0,0
Mackay/Capricorn Management Area,2016,Jan-Mar 2016,48739,30579,2572,14796,185,607
Townsville/Whitsunday Management Area,2016,Jan-Mar 2016,302482,203506,41753,45453,11009,761
